name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
"Tadeas, Juniper Ascendant",eb79f973-2384-4de4-81fb-14ba5a0e5556,slx,16,Legendary Creature — Human Monk,"Reach Tadeas has hexproof unless it's attacking. Whenever a creature you control with reach attacks, untap it and it can't be blocked by creatures with greater power this combat. Whenever one or more creatures you control deal combat damage to a player, draw a card.",GW
"Taeko, the Patient Avalanche",65b815a1-98d8-47b9-8d6b-b30e0a5f087c,j25,39,Legendary Creature — Turtle Ninja,"Taeko enters tapped. Whenever another creature you control leaves the battlefield, if it didn't die, scry 1 and put a +1/+1 counter on Taeko. Whenever Taeko attacks, you may pay {U/B}. When you do, target attacking creature can't be blocked this turn.",BU
"Tahngarth, First Mate",1692c11b-018e-47bf-b38d-3c3e6b79b37c,c19,50,Legendary Creature — Minotaur Warrior,"Tahngarth can't be blocked by more than one creature. Whenever an opponent attacks with one or more creatures, if Tahngarth is tapped, you may have that opponent gain control of Tahngarth until end of combat. If you do, choose a player or planeswalker that opponent is attacking. Tahngarth is attacking that player or planeswalker.",GR
"Tahngarth, Talruum Hero",c1778f37-af01-4f8c-ab9d-a4c60abf7e78,pls,74,Legendary Creature — Minotaur Warrior,"Vigilance {1}{R}, {T}: Tahngarth deals damage equal to its power to target creature. That creature deals damage equal to its power to Tahngarth.",R
"Taigam, Master Opportunist",8693d631-05f6-414d-9e49-6385746e8960,tdm,60,Legendary Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",U
"Taigam, Ojutai Master",b47e2781-544f-442c-98d0-43b9d91bab03,c17,46,Legendary Creature — Human Monk,"Instant, sorcery, and Dragon spells you control can't be countered. Whenever you cast an instant or sorcery spell from your hand, if Taigam attacked this turn, that spell gains rebound. (Exile the spell as it resolves. At the beginning of your next upkeep, you may cast that card from exile without paying its mana cost.)",UW
"Taigam, Sidisi's Hand",6336b0af-3c7d-4b8e-a0e7-d4d15078fc04,cmm,357,Legendary Creature — Human Wizard,"Skip your draw step. At the beginning of your upkeep, look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard. {B}, {T}, Exile X cards from your graveyard: Target creature gets -X/-X until end of turn.",BU
"Taii Wakeen, Perfect Shot",1643af0b-fcbf-4636-8c50-77ec77eaa34d,otj,234,Legendary Creature — Human Mercenary,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card. {X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.",RW
"Tajic, Blade of the Legion",eea2cdad-529a-499f-8be7-53f939153b7e,dmc,171,Legendary Creature — Human Soldier,"Indestructible Battalion — Whenever Tajic and at least two other creatures attack, Tajic gets +5/+5 until end of turn.",RW
"Tajic, Legion's Edge",45c4c3b3-be18-4d74-99d8-f137498673d7,rvr,231,Legendary Creature — Human Soldier,"Haste Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.) Prevent all noncombat damage that would be dealt to other creatures you control. {R}{W}: Tajic gains first strike until end of turn.",RW
"Tajic, Legion's Valor",7b838cfc-e8fd-4258-aa5f-afbde461c37c,ymkm,28,Legendary Creature — Human Soldier,"Indestructible, haste At the beginning of combat on your turn, put a +1/+1 counter on Tajic, Legion's Valor. Then conjure a card with mana value equal to the number of +1/+1 counters on it from Tajic, Legion's Valor's spellbook onto the battlefield. It gains haste until end of turn and attacks this combat if able.",RW
"Takeno, Samurai General",d038df46-4a30-4125-be0e-8781b16b523e,chk,46,Legendary Creature — Human Samurai,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.) Each other Samurai creature you control gets +1/+1 for each point of bushido it has.",W
"Talion, the Kindly Lord",62a6b452-c796-45c6-b4d1-0ae3d675e38e,woe,215,Legendary Creature — Faerie Noble,"Flying As Talion enters, choose a number between 1 and 10. Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.",BU
"Talrand, Sky Summoner",1be3ed47-072e-481a-b3d9-dc232ac4b24f,otc,116,Legendary Creature — Merfolk Wizard,"Whenever you cast an instant or sorcery spell, create a 2/2 blue Drake creature token with flying.",U
"Tameshi, Reality Architect",26594b52-3e9c-4cde-88df-1f4e9e16676e,neo,82,Legendary Creature — Moonfolk Wizard,"Whenever one or more noncreature permanents are returned to hand, draw a card. This ability triggers only once each turn. {X}{W}, Return a land you control to its owner's hand: Return target artifact or enchantment card with mana value X or less from your graveyard to the battlefield. Activate only as a sorcery.",UW
"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",2a717b98-cdac-416d-bf6c-f6b6638e65d1,mh3,242,Legendary Creature — Moonfolk Wizard // Legendary Planeswalker — Tamiyo,,GU
"Tana, the Bloodsower",a3d8d64f-a403-42a7-881b-4f70e9fe15a2,c16,45,Legendary Creature — Elf Druid,"Trample Whenever Tana deals combat damage to a player, create that many 1/1 green Saproling creature tokens. Partner (You can have two commanders if both have partner.)",GR
Tanazir Quandrix,3bd62ee4-e654-44ba-a650-889782cc9ac3,stx,240,Legendary Creature — Elder Dragon,"Flying, trample When Tanazir Quandrix enters, double the number of +1/+1 counters on target creature you control. Whenever Tanazir Quandrix attacks, you may have the base power and toughness of other creatures you control become equal to Tanazir Quandrix's power and toughness until end of turn.",GU
Taniwha,72d12315-4220-470d-9628-b9a3ea904ca7,mir,95,Legendary Creature — Serpent,"Trample Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.) At the beginning of your upkeep, all lands you control phase out. (They phase in before you untap during your next untap step.)",U
"Tan Jolom, the Worldwalker",96b1d02e-5dd1-4621-b8f9-353b95152185,ylci,30,Legendary Creature — Spirit,"At the beginning of combat on your turn, choose up to one target artifact or land you control that isn't a creature or token. Until end of turn, it becomes a 3/3 Spirit creature with vigilance and double team in addition to its other types.",GUW
"Tannuk, Memorial Ensign",52498b7b-0389-4e7b-b29f-7ac86aab9229,eoe,233,Legendary Creature — Kavu Pilot,"Landfall — Whenever a land you control enters, Tannuk deals 1 damage to each opponent. If this is the second time this ability has resolved this turn, draw a card.",GR
"Tannuk, Steadfast Second",44607ed3-9523-40ac-9f61-0edd011cf762,eoe,162,Legendary Creature — Kavu Pilot,"Other creatures you control have haste. Artifact cards and red creature cards in your hand have warp {2}{R}. (You may cast a card from your hand for its warp cost. Exile that permanent at the beginning of the next end step, then you may cast it from exile on a later turn.)",R
"Taranika, Akroan Veteran",a8edd707-5ba3-4978-9a0b-efd0cda367c1,thb,39,Legendary Creature — Human Soldier,"Vigilance Whenever Taranika attacks, untap another target creature you control. Until end of turn, that creature has base power and toughness 4/4 and gains indestructible.",W
"Targ Nar, Demon-Fang Gnoll",5fe57856-9d35-470e-9138-360b02ac0c90,afr,234,Legendary Creature — Gnoll,"Pack tactics — Whenever Targ Nar attacks, if you attacked with creatures with total power 6 or greater this combat, attacking creatures get +1/+0 until end of turn. {2}{R}{G}: Double Targ Nar's power and toughness until end of turn.",GR
"Tariel, Reckoner of Souls",b588dc15-68e6-4cbb-9345-a921c10f862d,2x2,281,Legendary Creature — Angel,"Flying, vigilance {T}: Choose a creature card at random from target opponent's graveyard. Put that card onto the battlefield under your control.",BRW
Tarox Bladewing,0b06bd73-c45a-4560-bd8d-413608c5f89e,fut,123,Legendary Creature — Dragon,"Flying, haste Grandeur — Discard another card named Tarox Bladewing: Tarox Bladewing gets +X/+X until end of turn, where X is its power.",R
"Tasha, the Witch Queen",b1c5f679-82d0-4434-9f13-d39ad57282b8,clb,294,Legendary Planeswalker — Tasha,"Whenever you cast a spell you don't own, create a 3/3 black Demon creature token. +1: Draw a card. For each opponent, exile up to one target instant or sorcery card from that player's graveyard and put a page counter on it. −3: You may cast a spell from among cards in exile with page counters on them without paying its mana cost. Tasha, the Witch Queen can be your commander.",BU
"Tasigur, the Golden Fang",175ad810-3cdd-43c7-99a9-8a2e8ad6dbae,tdc,197,Legendary Creature — Human Shaman,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.) {2}{G/U}{G/U}: Mill two cards, then return a nonland card of an opponent's choice from your graveyard to your hand.",BGU
Tataru Taru,93176e85-2343-43a8-8578-69699b464b86,fic,30,Legendary Creature — Dwarf Advisor,"When Tataru Taru enters, you draw a card and target opponent may draw a card. Scions' Secretary — Whenever an opponent draws a card, if it isn't that player's turn, create a tapped Treasure token. This ability triggers only once each turn.",W
"Tatsunari, Toad Rider",abf42833-43d0-4b05-b499-d13b2c577ee8,neo,123,Legendary Creature — Human Ninja,"Whenever you cast an enchantment spell, if you don't control a creature named Keimi, create Keimi, a legendary 3/3 black and green Frog creature token with ""Whenever you cast an enchantment spell, each opponent loses 1 life and you gain 1 life."" {1}{G/U}: Tatsunari and target Frog you control can't be blocked this turn except by creatures with flying or reach.",BGU
"Tatyova, Benthic Druid",eabc978a-0666-472d-bdc6-d4b29d29eca4,fdn,247,Legendary Creature — Merfolk Druid,"Landfall — Whenever a land you control enters, you gain 1 life and draw a card.",GU
"Tatyova, Steward of Tides",0d446cb9-519a-4889-b057-029db9400021,dmu,222,Legendary Creature — Merfolk Druid,"Land creatures you control have flying. Whenever a land you control enters, if you control seven or more lands, up to one target land you control becomes a 3/3 Elemental creature with haste. It's still a land.",GU
Tavern Brawler,b07f8fc3-83a5-4e0a-b87f-ce415292c790,clb,200,Legendary Enchantment — Background,"Commander creatures you own have ""At the beginning of your upkeep, exile the top card of your library. This creature gets +X/+0 until end of turn, where X is that card's mana value. You may play that card this turn.""",R
"Tawnos, Solemn Survivor",bdf67de0-f468-4f04-99ab-a442347bb16b,brc,3,Legendary Creature — Human Artificer,"{2}, {T}: Create a token that's a copy of up to one target artifact token you control. Mill two cards. {1}{W}{U}{B}, {T}, Sacrifice two artifact tokens, Exile an artifact or creature card from your graveyard: Create a token that's a copy of the exiled card, except it's an artifact in addition to its other types. Activate only as a sorcery.",BUW
"Tawnos, the Toymaker",1f855a7e-3a97-4b62-a2a7-06ff1fbb2c4c,bro,222,Legendary Creature — Human Artificer,"Whenever you cast a Beast or Bird creature spell, you may copy it, except the copy is an artifact in addition to its other types. (The copy becomes a token.)",GU
"Tawnos, Urza's Apprentice",a031a6c1-d7d1-4980-ac8e-30440ff4408f,c18,45,Legendary Creature — Human Artificer,"Haste {U}{R}, {T}: Copy target activated or triggered ability you control from an artifact source. You may choose new targets for the copy. (Mana abilities can't be targeted.)",RU
"Tayam, Luminous Enigma",05b837a2-5773-4340-87f9-b4d6a43deb27,c20,16,Legendary Creature — Nightmare Beast,"Each other creature you control enters with an additional vigilance counter on it. {3}, Remove three counters from among creatures you control: Mill three cards, then return a permanent card with mana value 3 or less from your graveyard to the battlefield.",BGW
"Tazri, Beacon of Unity",d4b79138-5728-4541-9ea5-dce1a5ae7e6a,znr,44,Legendary Creature — Human Warrior,"This spell costs {1} less to cast for each creature in your party. {2/U}{2/B}{2/R}{2/G}: Look at the top six cards of your library. You may reveal up to two Cleric, Rogue, Warrior, Wizard, and/or Ally cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order.",BGRUW
"Tazri, Stalwart Survivor",227d0d7d-544b-4736-914d-10d5d752eb42,mat,6,Legendary Creature — Human Warrior,"Each creature you control has ""{T}: Add one mana of any of this creature's colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability."" {W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren't mana abilities from among the milled cards into your hand.",BGRUW
"Teferi, Mage of Zhalfir",8fc5e4a8-ea7b-4803-a7ed-3b915708661f,tsr,91,Legendary Creature — Human Wizard,Flash Creature cards you own that aren't on the battlefield have flash. Each opponent can cast spells only any time they could cast a sorcery.,U
"Teferi, Temporal Archmage",368c6e60-804c-447c-bc2b-ac9dc4cab5e7,cmm,125,Legendary Planeswalker — Teferi,"+1: Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library. −1: Untap up to four target permanents. −10: You get an emblem with ""You may activate loyalty abilities of planeswalkers you control on any player's turn any time you could cast an instant."" Teferi, Temporal Archmage can be your commander.",U
Tegan Jovanka,361769b3-7e10-4e0f-b623-c00e2144463d,who,28,Legendary Creature — Human,"Brave Heart — Whenever you attack, target attacking historic creature gets +1/+1 and gains indestructible until end of turn. (Artifacts, legendaries, and Sagas are historic.) Doctor's companion (You can have two commanders if the other is the Doctor.)",W
"Tegwyll, Duke of Splendor",03fab911-7bd4-45fa-ba07-cd0e51b0cd95,woc,1,Legendary Creature — Faerie Noble,"Flying, deathtouch Other Faeries you control get +1/+1. Whenever another Faerie you control dies, you draw a card and you lose 1 life.",BU
"Tekuthal, Inquiry Dominus",2d389264-e2d2-4589-9636-faa11fe46710,eoc,78,Legendary Creature — Phyrexian Horror,"Flying If you would proliferate, proliferate twice instead. {1}{U/P}{U/P}, Remove three counters from among other artifacts, creatures, and planeswalkers you control: Put an indestructible counter on Tekuthal. ({U/P} can be paid with either {U} or 2 life.)",U
Telim'Tor,33cc89c8-a3ea-469e-b499-f48acec4f538,mir,197,Legendary Creature — Human Knight,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) Whenever Telim'Tor attacks, all attacking creatures with flanking get +1/+1 until end of turn.",R
"Tellah, Great Sage",a67793ef-ef80-4434-9c54-e3fd8a270bbe,fin,244,Legendary Creature — Human Wizard,"Whenever you cast a noncreature spell, create a 1/1 colorless Hero creature token. If four or more mana was spent to cast that spell, draw two cards. If eight or more mana was spent to cast that spell, sacrifice Tellah and it deals that much damage to each opponent.",RU
"Temmet, Naktamun's Will",c0629894-0b72-4abe-9771-03becfdb241c,drc,4,Legendary Creature — Zombie Wizard,"Vigilance, menace Whenever you attack, draw a card, then discard a card. Whenever you draw a card, Zombies you control get +1/+1 until end of turn.",BUW
"Temmet, Vizier of Naktamun",6af12a34-52a1-4940-a8d5-9e9811fcd59f,akh,207,Legendary Creature — Human Cleric,"At the beginning of combat on your turn, target creature token you control gets +1/+1 until end of turn and can't be blocked this turn. Embalm {3}{W}{U} ({3}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Human Cleric with no mana cost. Embalm only as a sorcery.)",UW
"Teneb, the Harvester",8caa7115-1b26-4615-842f-671b24dc96d8,2x2,282,Legendary Creature — Dragon,"Flying Whenever Teneb deals combat damage to a player, you may pay {2}{B}. If you do, put target creature card from a graveyard onto the battlefield under your control.",BGW
"Tergrid, God of Fright // Tergrid's Lantern",14dc88ee-bba9-4625-af0d-89f3762a0ead,khm,112,Legendary Creature — God // Legendary Artifact,,B
"Terra, Herald of Hope",5aa1a2d7-6133-41a9-9662-9008d1309935,fic,4,Legendary Creature — Human Wizard Warrior,"Trance — At the beginning of combat on your turn, mill two cards. Terra gains flying until end of turn. Whenever Terra deals combat damage to a player, you may pay {2}. When you do, return target creature card with power 3 or less from your graveyard to the battlefield tapped.",BRW
"Terra, Magical Adept // Esper Terra",fbd447aa-588d-4c4d-925e-a7d3bdf6a65c,fin,245,Legendary Creature — Human Wizard Warrior // Legendary Enchantment Creature — Saga Wizard,,BGRUW
"Terrian, World Tyrant",b44255cf-5264-4ead-9de0-20cc0f7cac6f,dft,182,Legendary Creature — Dinosaur Ooze,,G
Tersa Lightshatter,99e96b34-b1c4-4647-a38e-2cf1aedaaace,tdm,127,Legendary Creature — Orc Wizard,"Haste When Tersa Lightshatter enters, discard up to two cards, then draw that many cards. Whenever Tersa Lightshatter attacks, if there are seven or more cards in your graveyard, exile a card at random from your graveyard. You may play that card this turn.",R
"Tesak, Judith's Hellhound",0e563c13-7204-4cda-9b62-d46931fabcef,mkc,36,Legendary Creature — Elemental Dog,"Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.) Other Dogs you control have unleash. Creatures you control with counters on them have haste. Whenever Tesak attacks, add {R} for each attacking creature.",R
"Teshar, Ancestor's Apostle",e8a9b45b-d466-4c06-9a25-6edb6e8f6f2f,cmm,65,Legendary Creature — Bird Cleric,"Flying Whenever you cast a historic spell, return target creature card with mana value 3 or less from your graveyard to the battlefield. (Artifacts, legendaries, and Sagas are historic.)",W
"Tetsuko Umezawa, Fugitive",f3f03792-5d06-45f4-ab19-5a415abbc382,cmm,126,Legendary Creature — Human Rogue,Creatures you control with power or toughness 1 or less can't be blocked.,U
"Tetsuo, Imperial Champion",51c523cd-78b0-438f-bba5-19160f648d5f,dmc,44,Legendary Creature — Human Samurai,"Whenever Tetsuo attacks, if it's equipped, choose one — • Tetsuo deals damage equal to the greatest mana value among Equipment attached to it to any target. • You may cast an instant or sorcery spell from your hand with mana value less than or equal to the greatest mana value among Equipment attached to Tetsuo without paying its mana cost.",BRU
Tetsuo Umezawa,ec22ddf8-cb5e-4ca0-8f2f-c5d48f2cbd26,me3,179,Legendary Creature — Human Archer,"Tetsuo Umezawa can't be the target of Aura spells. {U}{B}{B}{R}, {T}: Destroy target tapped or blocking creature.",BRU
"Tetzimoc, Primal Death",c6a0b40e-7a43-4722-b787-a5d7ec6453ac,rix,86,Legendary Creature — Elder Dinosaur,"Deathtouch {B}, Reveal this card from your hand: Put a prey counter on target creature. Activate only during your turn. When Tetzimoc enters, destroy each creature your opponents control with a prey counter on it.",B
"Tetzin, Gnome Champion // The Golden-Gear Colossus",0502deea-95ad-4b6d-a3ac-d3adcd607624,lcc,13,Legendary Artifact Creature — Gnome // Legendary Artifact Creature — Gnome,,RUW
"Teval, Arbiter of Virtue",27a93f5b-7b32-49f0-a179-b897828fe49a,tdm,230,Legendary Creature — Spirit Dragon,"Flying, lifelink Spells you cast have delve. (Each card you exile from your graveyard while casting those spells pays for {1}.) Whenever you cast a spell, you lose life equal to its mana value.",BGU
"Teval, the Balanced Scale",b5d1955a-9ff0-4f8b-9af8-341371957299,tdc,8,Legendary Creature — Spirit Dragon,"Flying Whenever Teval attacks, mill three cards. Then you may return a land card from your graveyard to the battlefield tapped. Whenever one or more cards leave your graveyard, create a 2/2 black Zombie Druid creature token.",BGU
"Tevesh Szat, Doom of Fools",8f244716-78ab-46f5-b6e9-fc1e6db28052,cmr,153,Legendary Planeswalker — Szat,"+2: Create two 0/1 black Thrull creature tokens. +1: You may sacrifice another creature or planeswalker. If you do, draw two cards, then draw another card if the sacrificed permanent was a commander. −10: Gain control of all commanders. Put all commanders from the command zone onto the battlefield under your control. Tevesh Szat, Doom of Fools can be your commander. Partner",B
"Teysa, Envoy of Ghosts",abb21cf7-c5e6-4be5-8da5-9d29e95e2208,c21,230,Legendary Creature — Human Advisor,"Vigilance, protection from creatures Whenever a creature deals combat damage to you, destroy that creature. Create a 1/1 white and black Spirit creature token with flying.",BW
Teysa Karlov,cd14f1ce-7fcd-485c-b7ca-01c5b45fdc01,cmm,359,Legendary Creature — Human Advisor,"If a creature dying causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time. Creature tokens you control have vigilance and lifelink.",BW
Teysa of the Ghost Council,ae7e0a65-c348-4171-a793-9d49da9249d1,yotj,26,Legendary Creature — Spirit Advisor,"Starting intensity 0 When Teysa enters, create a 1/1 white and black Spirit creature token with flying. Teysa intensifies by 1. Spirits you control get +X/+0, where X is Teysa's intensity. At the beginning of your end step, you may exile Teysa. If you do, at the beginning of your next upkeep, return Teysa to the battlefield under its owner's control and it gains haste.",BW
"Teysa, Opulent Oligarch",9b5a13dd-c2fd-432e-bc49-cc62d94d62a0,mkm,234,Legendary Creature — Human Advisor,"Deathtouch At the beginning of your end step, investigate for each opponent who lost life this turn. Whenever a Clue you control is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying. This ability triggers only once each turn.",BW
"Teysa, Orzhov Scion",b8ca900d-767d-4461-aba3-107dd17d8326,rvr,233,Legendary Creature — Human Advisor,"Sacrifice three white creatures: Exile target creature. Whenever another black creature you control dies, create a 1/1 white Spirit creature token with flying.",BW
"Thada Adel, Acquisitor",3bfcbeab-7a1e-4dcf-99bf-98f42c2b6a6f,wwk,40,Legendary Creature — Merfolk Rogue,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Whenever Thada Adel deals combat damage to a player, search that player's library for an artifact card and exile it. Then that player shuffles. Until end of turn, you may play that card.",U
Thalia and The Gitrog Monster,8d7ff937-de92-445f-976c-726fef5c91cc,mom,255,Legendary Creature — Human Frog Horror,"First strike, deathtouch You may play an additional land on each of your turns. Creatures and nonbasic lands your opponents control enter tapped. Whenever Thalia and The Gitrog Monster attacks, sacrifice a creature or land, then draw a card.",BGW
"Thalia, Guardian of Thraben",c9f8b8fb-1cd8-450e-a1fe-892e7a323479,vow,38,Legendary Creature — Human Soldier,First strike Noncreature spells cost {1} more to cast.,W
"Thalia, Heretic Cathar",c062937f-d519-4206-99b0-cbea01b85a0d,inr,44,Legendary Creature — Human Soldier,First strike Creatures and nonbasic lands your opponents control enter tapped.,W
"Thalisse, Reverent Medium",f8cd8b55-2927-4e53-be1e-cc33c35f85b7,tdc,306,Legendary Creature — Human Cleric,"At the beginning of each end step, create X 1/1 white Spirit creature tokens with flying, where X is the number of tokens you created this turn.",BW
Thancred Waters,cc74ea74-05cf-4a33-84df-94ec34e816fe,fic,31,Legendary Creature — Human Warrior,"Flash Royal Guard — When Thancred Waters enters, another target legendary permanent you control gains indestructible for as long as you control Thancred Waters. Whenever you cast a noncreature spell, Thancred Waters gains indestructible until end of turn.",W
"Thantis, the Warweaver",91c54ac0-0edc-406f-8a22-f2996f604f36,c18,46,Legendary Creature — Spider,"Vigilance, reach All creatures attack each combat if able. Whenever a creature attacks you or a planeswalker you control, put a +1/+1 counter on Thantis.",BGR
"Thassa, Deep-Dwelling",c83ed3e0-82d0-4410-a6ca-b0f923eadf83,thb,71,Legendary Enchantment Creature — God,"Indestructible As long as your devotion to blue is less than five, Thassa isn't a creature. At the beginning of your end step, exile up to one other target creature you control, then return that card to the battlefield under your control. {3}{U}: Tap another target creature.",U
"Thassa, God of the Sea",9f9db424-e668-48b4-b275-7b35be4e1bf8,lcc,176,Legendary Enchantment Creature — God,"Indestructible As long as your devotion to blue is less than five, Thassa isn't a creature. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.) At the beginning of your upkeep, scry 1. {1}{U}: Target creature you control can't be blocked this turn.",U
The Ancient One,66dd43d7-76a7-46ea-b431-097fcea417af,lci,222,Legendary Creature — Spirit God,"Descend 8 — The Ancient One can't attack or block unless there are eight or more permanent cards in your graveyard. {2}{U}{B}: Draw a card, then discard a card. When you discard a card this way, target player mills cards equal to its mana value.",BU
The Archimandrite,54fb3f4c-44fb-4afe-9fab-204ef98995c3,brc,26,Legendary Creature — Human Advisor,"At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4. Whenever you gain life, each Advisor, Artificer, and Monk you control gains vigilance and gets +X/+0 until end of turn, where X is the amount of life you gained. Tap three untapped Advisors, Artificers, and/or Monks you control: Draw a card.",RUW
"The Balrog, Durin's Bane",416880c3-cefb-45ea-bcc3-2ec7a70c8097,ltr,195,Legendary Creature — Avatar Demon,"This spell costs {1} less to cast for each permanent sacrificed this turn. Haste The Balrog can't be blocked except by legendary creatures. When The Balrog dies, destroy target artifact or creature an opponent controls.",BR
"The Balrog, Flame of Udûn",905e7424-2d0b-4877-a7dc-272ea9392ff0,ltr,297,Legendary Creature — Avatar Demon,"Trample When a legendary creature an opponent controls dies, put The Balrog on the bottom of its owner's library.",BR
The Balrog of Moria,2a3fcfdc-f2cf-42d8-8bb4-7308bc12746e,ltc,46,Legendary Creature — Avatar Demon,"Trample, haste When The Balrog of Moria dies, you may exile it. When you do, for each opponent, exile up to one target creature that player controls. Cycling {3}{R} ({3}{R}, Discard this card: Draw a card.) When you cycle this card, create two Treasure tokens.",BR
The Beamtown Bullies,f0455a79-15f4-4ea6-87ae-263ce943cfac,ncc,6,Legendary Creature — Ogre Devil Warrior,"Vigilance, haste {T}: Target opponent whose turn it is puts target nonlegendary creature card from your graveyard onto the battlefield under their control. It gains haste. Goad it. At the beginning of the next end step, exile it. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",BGR
"The Beast, Deathless Prince",6218badd-d352-4e6d-9c84-f1e3f2f84695,who,114,Legendary Creature — Demon,"When you cast this spell, gain control of target creature until end of turn. Untap it. It gains menace and haste until end of turn. The Beast enters tapped with six stun counters on it. (If it would become untapped, remove a stun counter from it instead.) Whenever a creature deals combat damage to its owner, untap The Beast and draw a card.",BR
The Belligerent,1454af8c-bce9-47d3-890f-283e2fea2cf2,lci,225,Legendary Artifact — Vehicle,"Whenever The Belligerent attacks, create a Treasure token. Until end of turn, you may look at the top card of your library any time, and you may play lands and cast spells from the top of your library. Crew 3",RU
The Big Idea,2ec4563d-1a83-402c-b209-0e1f740a6523,ust,76,Legendary Creature — Brainiac Villain,"{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result. Tap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results.",BR
The Cabbage Merchant,2fea0356-6684-4730-9eb4-0262856bc1f9,tle,134,Legendary Creature — Human Citizen,"Whenever an opponent casts a noncreature spell, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."") Whenever a creature deals combat damage to you, sacrifice a Food token. Tap two untapped Foods you control: Add one mana of any color.",G
The Capitoline Triad,fa1b63ce-47d3-4633-9062-3fecd810e85f,acr,1,Legendary Creature — God Artificer,"Those Who Came Before — This spell costs {1} less to cast for each historic card in your graveyard. (Artifacts, legendaries, and Sagas are historic.) Exile any number of historic cards from your graveyard with total mana value 30 or greater: You get an emblem with ""Creatures you control have base power and toughness 9/9.""",
The Celestial Toymaker,55c9e915-9cee-45c3-96aa-9dfd5a600d0a,sld,1582,Legendary Creature — Rogue Artificer,"Whenever The Celestial Toymaker attacks, look at the top three cards of your library. Exile any number of them in a face-down pile and the rest in a face-up pile. Defending player chooses one of those piles. Put that pile into your hand. At the beginning of each end step, each opponent loses 2 life for each spell or ability that caused one or more players to guess or to group cards or permanents into a pile this turn.",BUW
The Council of Four,0873cfa8-046c-4b14-ae22-3fd6a691f763,clb,271,Legendary Creature — Human Noble,"Whenever a player draws their second card during their turn, you draw a card. Whenever a player casts their second spell during their turn, you create a 2/2 white Knight creature token.",UW
The Cyber-Controller,3cab0df1-d53f-4208-9ff9-d015aac20141,who,119,Legendary Artifact Creature — Cyberman,"When The Cyber-Controller enters, each opponent mills X cards. Put all creature cards milled this way onto the battlefield face down under your control. They're 2/2 Cyberman artifact creatures. Other artifact creatures you control get +1/+1.",BU
The Dalek Emperor,e96e1793-cf1c-452d-9443-b0aad4475d50,who,120,Legendary Artifact Creature — Dalek,"Affinity for Daleks (This spell costs {1} less to cast for each Dalek you control.) Other Daleks you control have haste. At the beginning of combat on your turn, each opponent faces a villainous choice — That player sacrifices a creature of their choice, or you create a 3/3 black Dalek artifact creature token with menace.",BR
The Eighth Doctor,a26bf6fd-ced3-4c37-8adb-9a75c6d6d5cc,who,124,Legendary Creature — Time Lord Doctor,"When The Eighth Doctor enters, mill three cards. Once during each of your turns, you may play a historic land or cast a historic permanent spell from your graveyard. If you do, it gains ""If this permanent would leave the battlefield, exile it instead of putting it anywhere else.""",UW
The Eleventh Doctor,590849a7-9abc-4757-8e13-f680d3b1dceb,who,125,Legendary Creature — Time Lord Doctor,"I. AM. TALKING! — Whenever The Eleventh Doctor deals combat damage to a player, you may exile a card from your hand with a number of time counters on it equal to its mana value. If it doesn't have suspend, it gains suspend. {2}: Target creature with power 3 or less can't be blocked this turn.",UW
